sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
f;servicio;peluqueria;moravia;2;4;2016-04-12;6890000;microempresarial
m;comercio;venta de calzado;pedregal;3;6;2016-06-21;3500000;microempresarial
f;servicio;comidas rapidas;cabecera san antonio ;2;80;2016-06-16;3000000;microempresarial
m;industria;tienda;la florida;2;80;2018-06-27;6800000;microempresarial
f;servicio;miscelanea;boston;2;10;2019-06-05;7000000;microempresarial
m;comercio;almacen de ropa en;belen;3;16;2019-06-18;8000000;microempresarial
f;servicio;sembrados;boyaca;3;5;2017-02-21;22000000;juridica y cap.semilla
m;comercio;comidas rapidas;santa cruz;2;2;2017-03-09;7377000;microempresarial
f;comercio;almacen de ropa en;playon de los ;2;2;2017-01-31;7370000;microempresarial
f;comercio;variedades;la sierra;1;8;2019-06-05;8000000;microempresarial
m;servicio;variedades;manrique central no. 1;2;4;2018-03-09;7000000;microempresarial
m;comercio;venta de calzado;aranjuez;3;4;2016-10-21;4000000;microempresarial
m;servicio;recreativo educativo;castilla;3;5;2016-05-24;6400000;microempresarial
m;servicio;tienda;villa hermosa;3;8;2019-04-22;8281000;microempresarial
m;industria;fabrica de;aranjuez;2;4;2016-12-19;6890000;microempresarial
f;servicio;peluqueria;manrique central no. 1;2;4;2017-11-23;5000000;microempresarial
f;comercio;variedades;belen;2;16;2019-03-21;3000000;microempresarial
f;industria;fabrica de;gerona;3;9;2017-01-24;7377000;microempresarial
m;comercio;tienda;cabecera san cristobal;1;60;2016-04-08;6000000;microempresarial
m;comercio;comidas rapidas;santa cruz;2;2;2018-05-10;7800000;microempresarial
m;comercio;tienda;alfonso lopez;3;5;2019-05-13;8000000;microempresarial
f;comercio;variedades;manrique oriental;2;3;2018-03-23;4000000;microempresarial
f;comercio;tienda;manrique central no. 1;3;4;2017-07-18;7377000;microempresarial
f;comercio;almacen de ropa en;san pablo;1;1;2018-02-21;3000000;microempresarial
f;comercio;comidas rapidas;la avanzada;1;1;2018-10-31;1000000;microempresarial
f;comercio;tienda;cabecera san cristobal;1;60;2018-09-14;3000000;microempresarial
f;servicio;restaurante;san javier no.1;3;13;2017-03-22;7370000;microempresarial
f;servicio;tienda;sucre;1;8;2016-07-27;6000000;microempresarial
f;comercio;granero;hector abad gomez;2;5;2019-04-05;4000000;microempresarial
f;comercio;comidas rapidas;aranjuez;3;4;2018-07-09;7800000;microempresarial
m;industria;fabrica de calzado;eduardo santos;2;10;2019-04-10;8200000;microempresarial
m;comercio;tienda;castilla;3;5;2018-02-14;7800000;microempresarial
f;industria;fabrica de;san javier no.1;1;13;2017-07-13;6000000;microempresarial
f;servicio;peluqueria;robledo;3;7;2017-05-26;6000000;microempresarial
f;servicio;ebanistaria;belen;3;16;2018-05-09;8250000;microempresarial
m;comercio;miscelanea;castilla;3;5;2016-09-08;6890000;microempresarial
m;servicio;variedades;san javier no.1;2;13;2018-05-30;7800000;microempresarial
f;comercio;papeleria;rosales;2;16;2017-05-09;7370000;microempresarial
m;comercio;variedades;las palmas;2;10;2017-11-17;4000000;microempresarial
m;comercio;variedades;villa hermosa;3;8;2016-09-15;4000000;microempresarial
m;comercio;charcuteria;manrique central no. 2;1;3;2017-12-28;7000000;microempresarial
m;industria;fabrica de;la floresta;3;12;2016-06-17;6890000;microempresarial
f;comercio;tienda;santo domingo savio ;1;1;2018-12-04;3000000;microempresarial
f;comercio;almacen de ropa en;belen;3;16;2016-09-26;6890000;microempresarial
f;comercio;venta de repuestos;campo valdes no. 1;3;4;2016-02-20;6890000;microempresarial
m;comercio;mantenimiento en;doce de octubre no.1;2;6;2017-10-18;7370000;microempresarial
f;comercio;distribuidora de;florencia;3;5;2016-08-12;6890000;microempresarial
m;servicio;comidas rapidas;manrique central no. 1;3;4;2019-05-22;8000000;microempresarial
m;servicio;mantenimiento en;picachito;1;6;2018-05-07;7000000;microempresarial
f;comercio;miscelanea;santa cruz;2;4;2019-02-08;8281000;microempresarial
m;comercio;almacen de ropa en;santa lucia;3;12;2017-10-12;7377170;microempresarial
f;servicio;comidas rapidas;robledo;2;7;2018-03-09;2000000;microempresarial
m;comercio;servicios;pedregal;3;6;2018-07-06;2000000;microempresarial
m;comercio;variedades;enciso;3;8;2018-03-20;1000000;microempresarial
f;industria;comidas rapidas;moravia;2;4;2017-02-24;7377000;microempresarial
m;servicio;variedades;santa rosa de lima;3;13;2018-09-10;1000000;microempresarial
m;comercio;cafeteria;santa teresita;2;12;2018-05-04;3500000;microempresarial
f;servicio;taller de mecanica;enciso;1;8;2018-06-22;6000000;microempresarial
f;industria;fabrica de;robledo;2;7;2018-03-09;600000;microempresarial
f;comercio;fabrica de alimentos;robledo;2;7;2016-10-18;4000000;microempresarial
m;comercio;cerrajeria;juan xxiii la quiebra;1;13;2019-05-22;8000000;microempresarial
m;comercio;papeleria;robledo;1;7;2018-01-19;7000000;microempresarial
f;comercio;variedades;villatina;1;8;2016-03-14;2500000;microempresarial
m;industria;fabrica de;manrique central no. 2;1;3;2016-03-17;6000000;microempresarial
f;servicio;fabrica de;popular;1;1;2016-10-19;5000000;microempresarial
f;comercio;distribuidora de;prado;3;10;2017-02-13;7300000;microempresarial
f;comercio;montallantas;playon de los ;1;2;2018-11-27;7800000;microempresarial
f;comercio;tienda;cabecera san cristobal;1;60;2018-09-20;7800000;microempresarial
f;industria;fabrica de;picacho;2;6;2017-11-02;7000000;microempresarial
m;comercio;variedades;castilla;3;5;2018-02-22;5000000;microempresarial
f;servicio;tienda;santa cruz;2;2;2018-03-23;7000000;microempresarial
f;comercio;almacen de ropa en;castilla;3;5;2017-09-13;7370000;microempresarial
m;servicio;restaurante;olaya herrera;1;7;2017-09-29;7377000;microempresarial
m;servicio;comidas rapidas;aranjuez;2;4;2017-09-19;7300000;microempresarial
f;industria;lenceria para el;cabecera san antonio ;3;80;2016-12-01;6800000;microempresarial
m;agropecuaria;comidas rapidas;barrio caicedo;2;9;2017-09-06;7300000;microempresarial
m;comercio;papeleria;campo valdes no. 1;2;4;2016-04-29;3000000;microempresarial
f;servicio;peluqueria;vrda. san cristobal ;1;60;2016-02-01;2500000;microempresarial
f;industria;fabrica de;manrique central no. 1;3;4;2017-11-02;7300000;microempresarial
f;industria;fabrica de calzado;santo domingo savio ;1;16;2018-10-25;5000000;microempresarial
m;industria;fabrica de ceramica;villa del socorro;2;2;2016-10-05;5000000;microempresarial
f;comercio;legumbreria;santo domingo savio ;1;1;2018-05-29;4000000;microempresarial
f;agropecuaria;criadero de animales;santo domingo savio ;1;1;2017-06-28;6000000;microempresarial
m;comercio;variedades;prado;3;10;2018-02-05;3000000;microempresarial
m;comercio;comidas rapidas;buenos aires;2;9;2017-07-13;2000000;microempresarial
f;comercio;variedades;cabecera san antonio ;3;80;2017-11-27;7300000;microempresarial
f;comercio;miscelanea;manrique central no. 2;2;3;2019-01-25;7000000;microempresarial
f;comercio;variedades;boston;2;10;2017-08-15;7370000;microempresarial
m;servicio;barberia;manrique central no. 2;2;3;2017-07-17;7370000;microempresarial
f;servicio;peluqueria;buenos aires;3;9;2018-04-06;7800000;microempresarial
f;industria;fabrica de;popular;1;1;2017-11-23;7300000;microempresarial
f;comercio;variedades;villatina;1;8;2018-06-12;2500000;microempresarial
f;servicio;mantenimiento en;popular;2;1;2016-12-20;6800000;microempresarial
m;servicio;cafe e internet;doce de octubre no.1;2;6;2018-10-31;3750000;microempresarial
f;comercio;comidas rapidas;belen;3;16;2018-05-25;5000000;microempresarial
f;servicio;publicidad y;la milagrosa;3;9;2018-07-10;3000000;microempresarial
m;industria;fabrica de ceramica;popular;1;1;2018-05-22;7812000;microempresarial
f;industria;fabrica de;andalucia;2;2;2018-07-06;5000000;microempresarial
f;servicio;mantenimiento en;campo valdes no. 1;3;4;2018-11-02;5000000;microempresarial
f;comercio;comidas rapidas;la floresta;3;12;2019-05-06;7500000;microempresarial
f;servicio;peluqueria;la milagrosa;3;9;2017-03-09;7377000;microempresarial
f;comercio;fabrica de calzado;buenos aires;3;9;2018-09-12;7800000;microempresarial
f;comercio;almacen de ropa en;tricentenario;3;5;2017-02-01;7377000;microempresarial
m;servicio;barberia;picachito;1;6;2017-03-03;7000000;microempresarial
f;servicio;peluqueria;manrique central no. 2;2;3;2018-05-25;7800000;microempresarial
m;comercio;tienda;buenos aires;3;9;2016-10-12;5000000;microempresarial
f;comercio;variedades;robledo;2;7;2018-03-06;3400000;microempresarial
f;comercio;almacen de ropa en;san javier no.1;1;13;2017-10-09;4000000;microempresarial
m;comercio;variedades;barrio caicedo;2;9;2017-10-06;6000000;microempresarial
m;comercio;comidas rapidas;san javier no.1;1;13;2018-10-31;7800000;microempresarial
m;comercio;variedades;campo valdes no. 1;2;4;2016-02-23;2000000;microempresarial
f;servicio;tienda;calasanz;3;13;2018-07-16;7800000;microempresarial
m;comercio;tienda;san javier no.1;1;13;2018-12-06;5000000;microempresarial
m;comercio;variedades;aranjuez;3;4;2016-03-11;6890000;microempresarial
m;industria;fabrica de;buenos aires;2;9;2018-08-14;7800000;microempresarial
f;industria;fabrica de;moravia;2;4;2017-12-26;5000000;microempresarial
m;servicio;recreativo educativo;belen;3;16;2017-12-06;7300000;microempresarial
m;comercio;granero;san javier no.1;2;13;2019-06-25;8280000;microempresarial
f;comercio;variedades;belen;3;16;2016-10-12;5000000;microempresarial
f;comercio;comidas rapidas;castilla;2;5;2018-03-16;2000000;microempresarial
m;comercio;peluqueria;cabecera san cristobal;2;60;2018-01-17;7500000;microempresarial
f;servicio;barberia;picachito;1;6;2017-02-23;7377000;microempresarial
f;comercio;tienda;el salvador;2;9;2017-10-23;5000000;microempresarial
f;comercio;tienda;manrique oriental;2;3;2018-04-03;7800000;microempresarial
m;servicio;mantenimiento en;la milagrosa;3;9;2019-03-05;8000000;microempresarial
f;servicio;peluqueria;moravia;2;4;2018-03-02;3000000;microempresarial
f;servicio;publicidad y;robledo;2;7;2017-09-01;7377000;microempresarial
f;comercio;cafeteria;manrique oriental;1;3;2018-05-07;3000000;microempresarial
f;comercio;tienda;la floresta;2;12;2016-04-11;4136000;microempresarial
f;industria;fabrica de calzado;robledo;2;7;2017-11-21;6000000;microempresarial
f;servicio;variedades;barrio colombia;3;14;2017-02-23;7370000;microempresarial
f;industria;fabrica de;manrique central no. 1;1;4;2017-06-16;63000000;microempresarial
f;industria;fabrica de;buenos aires;2;9;2017-03-08;7000000;microempresarial
m;comercio;variedades;santo domingo savio ;2;1;2017-07-14;7000000;microempresarial
f;comercio;legumbreria;picacho;1;6;2017-09-20;7377000;microempresarial
f;industria;fabrica de arepas;campo valdes no. 1;3;4;2018-01-24;7300000;microempresarial
m;comercio;tienda;robledo;1;7;2016-09-12;6894000;microempresarial
m;comercio;tienda;campo valdes no. 1;2;4;2019-02-19;7800000;microempresarial
f;comercio;legumbreria;girardot;3;5;2018-08-03;7800000;microempresarial
f;industria;fabrica de muebles;altavista;2;16;2018-12-13;7800000;microempresarial
m;servicio;mantenimiento en;buenos aires;3;9;2016-09-29;5000000;microempresarial
f;servicio;comidas rapidas;manrique central no. 2;2;3;2016-08-22;3000000;microempresarial
f;comercio;variedades;san javier no.1;1;13;2017-09-20;2000000;microempresarial
f;servicio;publicidad y;el socorro;1;13;2018-12-28;6000000;microempresarial
m;servicio;productos de belleza;alfonso lopez;2;5;2018-05-24;7000000;microempresarial
f;servicio;peluqueria;belen;2;9;2017-05-26;60000000;microempresarial
f;comercio;comidas rapidas;llanaditas;1;8;2017-03-23;5000000;microempresarial
f;servicio;peluqueria;cabecera san antonio ;2;80;2018-07-16;7800000;microempresarial
f;comercio;tienda;manrique central no. 2;3;3;2017-08-04;7000000;microempresarial
f;industria;fabrica de;doce de octubre no.1;1;6;2017-05-10;5000000;microempresarial
m;industria;bares;florencia;3;5;2018-02-28;19000000;empresarial ed.
f;comercio;variedades;la floresta;3;12;2016-03-02;4500000;microempresarial
m;servicio;barberia;san jose de la cima no. ;1;3;2018-02-16;6200000;microempresarial
f;servicio;restaurante;robledo;2;7;2019-04-25;6000000;microempresarial
f;industria;fabrica de;san javier no.1;1;13;2017-05-04;7000000;microempresarial
f;comercio;variedades;granizal;2;1;2018-09-10;1500000;microempresarial
f;industria;fabrica de;jardin botanico;1;4;2018-05-31;5000000;microempresarial
f;comercio;panaderia;bombona no. 1;3;10;2016-09-30;6800000;microempresarial
m;comercio;tienda;santo domingo savio ;1;1;2018-12-05;6000000;microempresarial
m;servicio;taller de mecanica;cabecera san cristobal;2;60;2019-05-22;8000000;microempresarial
f;comercio;variedades;antonio nariño;3;13;2018-05-04;780000;microempresarial
f;industria;fabrica de;belalcazar;2;5;2016-11-01;6890000;microempresarial
f;agropecuaria;criadero de animales;manrique central no. 2;1;3;2018-07-19;7812000;microempresarial
f;comercio;variedades;robledo;2;7;2017-03-29;3000000;microempresarial
f;comercio;comidas rapidas;buenos aires;1;9;2019-05-24;8200000;microempresarial
m;servicio;recreativo educativo;santa cruz;3;2;2018-02-14;7800000;microempresarial
f;comercio;variedades;popular;2;1;2016-01-19;5000000;microempresarial
f;servicio;peluqueria;el salvador;3;9;2018-06-15;7000000;microempresarial
f;comercio;variedades;san javier no.1;3;13;2017-02-22;6890000;microempresarial
f;industria;fabrica de;loreto;2;9;2018-05-02;3000000;microempresarial
f;comercio;papeleria;castilla;3;5;2019-01-30;4000000;microempresarial
f;comercio;fabrica de;bello horizonte;1;7;2017-02-23;4000000;microempresarial
f;comercio;distribuidora de;aranjuez;3;4;2017-06-30;7300000;microempresarial
f;comercio;cerrajeria;robledo;2;7;2017-09-18;5800000;microempresarial
m;agropecuaria;criadero de animales;cabecera san cristobal;2;60;2017-11-20;14000000;microempresarial
m;industria;fabrica de;florencia;3;5;2017-09-13;4000000;microempresarial
f;comercio;tienda;popular;1;9;2017-08-25;3150000;microempresarial
f;industria;fabrica de;belen;2;16;2018-08-08;7800000;microempresarial
f;comercio;variedades;manrique central no. 1;2;4;2017-11-07;7377000;microempresarial
f;industria;fabrica de;robledo;1;7;2018-04-27;7000000;microempresarial
m;servicio;organización y;belen;3;16;2016-07-14;68900000;microempresarial
f;industria;carpinteria;aranjuez;2;4;2018-05-15;7800000;microempresarial
f;industria;fabrica de;sucre;3;8;2018-07-12;5000000;microempresarial
f;comercio;tienda naturista;campo valdes no. 1;3;4;2018-05-28;7800000;microempresarial
m;comercio;tienda;lopez de mesa;3;7;2018-07-24;1500000;microempresarial
m;comercio;tienda;guayabal;2;15;2018-09-05;7800000;microempresarial
f;comercio;almacen de ropa en;boston;3;10;2017-08-15;7370000;microempresarial
m;servicio;recreativo educativo;guayabal;3;15;2016-10-28;2000000;microempresarial
f;comercio;almacen de ropa en;manrique oriental;2;3;2017-07-19;6000000;microempresarial
m;servicio;peluqueria;san pablo;2;1;2018-01-12;7800000;microempresarial
m;servicio;taller de electronica;lopez de mesa;3;7;2018-11-16;3000000;microempresarial
f;servicio;lavanderia;cabecera san cristobal;1;60;2017-03-07;4000000;microempresarial
f;comercio;fabrica de helados;santo domingo savio ;2;1;2017-03-07;7377000;microempresarial
f;comercio;comidas rapidas;santander;2;6;2018-10-30;7800000;microempresarial
f;comercio;variedades;san javier no.1;3;13;2016-07-05;6000000;microempresarial
f;industria;fabrica de;belen;3;16;2018-09-03;5500000;microempresarial
m;industria;fabrica de calzado;granizal;3;1;2017-04-07;5000000;microempresarial
f;comercio;variedades;la floresta;3;12;2016-10-11;6890000;microempresarial
f;servicio;fumigacion;enciso;1;8;2016-11-28;6890000;microempresarial
m;comercio;fabrica de muebles;robledo;2;7;2017-09-20;7370000;microempresarial
f;comercio;gimnasio;popular;2;1;2017-04-18;2000000;microempresarial
f;industria;fabrica de;aures no. 2;2;7;2017-05-22;1500000;microempresarial
m;servicio;peluqueria;belen;2;16;2017-02-27;5000000;microempresarial
m;comercio;comidas rapidas;san javier no.1;2;13;2016-01-20;6800000;microempresarial
f;comercio;productos de belleza;picachito;1;6;2019-03-18;8200000;microempresarial
f;comercio;taller de mecanica;picacho;1;6;2017-03-29;6000000;microempresarial
f;industria;fabrica de;campo valdes no. 1;3;4;2016-04-11;6600000;microempresarial
m;servicio;mantenimiento en;enciso;1;8;2018-12-13;5000000;microempresarial
m;industria;fabrica de;manrique central no. 2;3;3;2017-11-03;5000000;microempresarial
f;comercio;peluqueria;robledo;2;7;2017-05-11;7377000;microempresarial
f;servicio;variedades;andalucia;2;2;2017-04-20;6000000;microempresarial
f;servicio;productos de belleza;trinidad;3;15;2017-11-21;27000000;empresarial ed.
m;comercio;reciclaje;san javier no.1;1;13;2018-10-31;7800000;microempresarial
m;servicio;cafe e internet;aguas frias;1;70;2017-08-30;7;microempresarial
f;comercio;tienda;manrique oriental;2;3;2016-10-14;6890000;microempresarial
f;comercio;variedades;robledo;2;7;2017-03-28;7377000;microempresarial
m;comercio;tienda;villatina;1;9;2018-05-28;7800000;microempresarial
f;servicio;criadero de animales;castilla;3;5;2018-10-25;7800000;microempresarial
f;comercio;variedades;robledo;2;7;2018-10-11;4000000;microempresarial
f;comercio;ferreteria;buenos aires;2;9;2016-07-07;6800000;microempresarial
f;servicio;peluqueria;robledo;2;7;2017-12-19;6000000;microempresarial
m;industria;taller de electronica;buenos aires;2;9;2018-02-14;7000000;microempresarial
f;comercio;tienda;santa cruz;2;2;2018-05-10;7800000;microempresarial
f;industria;fabrica de;cabecera san cristobal;3;60;2017-08-22;7370000;microempresarial
f;industria;fabrica de;san javier no.1;2;13;2018-02-23;7800000;microempresarial
m;servicio;tienda;popular;1;1;2016-10-14;2000000;microempresarial
f;comercio;comidas rapidas;belencito;1;13;2018-08-10;7800000;microempresarial
m;comercio;fabrica de alimentos;enciso;2;8;2018-02-06;7800000;microempresarial
f;comercio;tienda;versalles no. 2;1;3;2018-06-20;2000000;microempresarial
m;comercio;variedades;manrique central no. 1;2;4;2018-05-04;7800000;microempresarial
f;servicio;peluqueria;bombona no. 1;3;10;2018-10-18;7000000;microempresarial
m;comercio;comidas rapidas;san javier no.1;1;13;2017-09-22;6000000;microempresarial
f;industria;fabrica de calzado;barrio caicedo;2;9;2016-04-07;6700000;microempresarial
f;comercio;fabrica de;popular;1;1;2017-05-05;7000000;microempresarial
f;servicio;mantenimiento en;doce de octubre no.1;1;6;2017-10-19;7377000;microempresarial
f;comercio;almacen de ropa en;caribe;3;5;2019-02-27;8281000;microempresarial
m;comercio;variedades;manrique oriental;2;3;2017-12-05;7300000;microempresarial
f;comercio;peluqueria;aranjuez;2;4;2018-07-09;5000000;microempresarial
m;comercio;venta de calzado;villa nueva;3;10;2016-09-23;689000;microempresarial
m;comercio;charcuteria;campo valdes no. 1;3;4;2016-11-16;6890000;microempresarial
m;servicio;barberia;doce de octubre no.1;2;6;2016-10-18;4500000;microempresarial
f;agropecuaria;marroquineria;manrique oriental;2;3;2017-01-24;6000000;microempresarial
f;comercio;comidas rapidas;manrique central no. 1;2;4;2018-08-17;6000000;microempresarial
m;comercio;taller de electronica;campo valdes no. 1;3;4;2017-02-16;7377000;microempresarial
f;industria;fabrica de;santa cruz;2;2;2016-02-18;6000000;microempresarial
m;comercio;variedades;aranjuez;3;4;2016-12-14;6890000;microempresarial
f;comercio;comidas rapidas;robledo;2;7;2018-05-25;6000000;microempresarial
f;comercio;tienda de helados;trinidad;2;15;2018-04-04;6000000;microempresarial
f;comercio;tienda;altavista;2;16;2018-06-22;4000000;microempresarial
f;comercio;miscelanea;doce de octubre no.1;2;6;2017-08-29;5000000;microempresarial
f;industria;fabrica de;la milagrosa;3;9;2016-11-23;4500000;microempresarial
f;comercio;comidas rapidas;villa niza;2;2;2018-08-14;5000000;microempresarial
f;comercio;tienda;doce de octubre no.1;2;6;2016-09-29;5000000;microempresarial
f;comercio;variedades;manrique central no. 2;3;3;2018-06-15;1500000;microempresarial
m;servicio;variedades;castilla;3;5;2016-12-02;6890000;microempresarial
m;comercio;restaurante;francisco antonio zea;2;5;2017-08-22;28000000;empresarial ed.
f;servicio;cafe e internet;robledo;1;7;2018-02-20;4000000;microempresarial
f;comercio;papeleria;manrique oriental;2;3;2018-10-31;5000000;microempresarial
m;comercio;drogueria;santo domingo savio ;1;1;2016-07-07;6000000;microempresarial
f;industria;fabrica de calzado;las palmas;3;10;2019-01-09;8200000;microempresarial
f;industria;fabrica de;manrique oriental;3;3;2017-06-06;5000000;microempresarial
m;servicio;lavanderia;villa niza;2;2;2017-11-23;7300000;microempresarial
m;comercio;comidas rapidas;belen;3;16;2017-05-15;7300000;microempresarial
f;industria;fabrica de;buenos aires;3;9;2016-09-02;6890000;microempresarial
f;comercio;tienda;buenos aires;2;9;2017-12-11;4400000;microempresarial
f;comercio;restaurante;enciso;1;8;2018-05-07;1500000;microempresarial
f;agropecuaria;criadero de animales;la pradera;1;13;2016-10-11;4000000;microempresarial
m;servicio;mantenimiento en;belen;3;16;2018-09-10;7800000;microempresarial
m;servicio;publicidad y;toscana;3;5;2017-06-08;7377000;microempresarial
f;comercio;restaurante;barrio caicedo;1;9;2018-10-25;7800000;microempresarial
m;comercio;tienda;yarumalito;2;80;2017-09-29;6000000;microempresarial
m;comercio;variedades;manrique central no. 1;2;4;2018-04-27;2300000;microempresarial
f;comercio;venta de;kennedy;2;8;2016-04-21;6890000;microempresarial
f;industria;fabrica de;florencia;3;5;2017-05-10;5000000;microempresarial
m;comercio;variedades;kennedy;2;6;2016-11-17;6800000;microempresarial
m;servicio;cafe e internet;enciso;2;8;2016-07-01;4500000;microempresarial
f;comercio;comidas rapidas;robledo;2;7;2018-07-12;2300000;microempresarial
m;industria;fabrica de;villa hermosa;3;8;2017-03-30;7377000;microempresarial
f;comercio;variedades;buenos aires;3;9;2016-10-19;5000000;microempresarial
f;industria;fabrica de;pedregal;3;6;2018-11-20;5000000;microempresarial
f;comercio;variedades;prado;3;10;2019-04-01;5000000;microempresarial
m;comercio;comidas rapidas;aranjuez;2;4;2017-03-03;4000000;microempresarial
f;comercio;variedades;san javier no.1;2;13;2017-01-13;6890000;microempresarial
m;comercio;variedades;cabecera san cristobal;1;60;2018-04-25;7800000;microempresarial
m;comercio;variedades;villa del socorro;2;2;2018-08-14;7800000;microempresarial
f;industria;fabrica de;villa del socorro;2;2;2018-07-24;7800000;microempresarial
f;industria;fabrica de;20 de julio;1;13;2018-02-13;7800000;microempresarial
f;comercio;drogueria;moravia;2;4;2017-03-21;7300000;microempresarial
m;comercio;tienda;buenos aires;2;9;2018-05-03;1700000;microempresarial
m;comercio;ferreteria;buenos aires;3;9;2016-10-28;4000000;microempresarial
f;comercio;tienda;barrio caicedo;1;9;2017-09-11;2000000;microempresarial
f;industria;fabrica de;el salvador;3;9;2019-01-21;4000000;microempresarial
m;servicio;tienda naturista;pablo vi;2;2;2017-04-06;5000000;microempresarial
m;industria;fabrica de;20 de julio;1;13;2018-10-24;7800000;microempresarial
f;industria;fabrica de;popular;1;1;2018-10-18;7800000;microempresarial
f;servicio;comidas rapidas;santo domingo savio ;1;1;2017-08-25;7300000;microempresarial
f;agropecuaria;sembrados;santa elena central;2;90;2016-03-11;6500000;microempresarial
f;comercio;variedades;blanquizal;1;13;2018-07-25;3000000;microempresarial
f;industria;fabrica de;manrique central no. 1;2;4;2016-09-28;6000000;microempresarial
f;industria;fabrica de;manrique central no. 1;2;4;2017-06-09;7300000;microempresarial
f;comercio;comidas rapidas;el salvador;2;9;2017-09-22;7377000;microempresarial
f;industria;fabrica de;manrique central no. 2;1;3;2018-11-21;7000000;microempresarial
f;industria;fabrica de;prado;3;10;2018-02-23;3000000;microempresarial
m;comercio;variedades;santo domingo savio ;1;1;2018-04-04;1500000;microempresarial
f;comercio;comidas rapidas;belen;2;16;2018-04-19;2000000;microempresarial
f;comercio;comidas rapidas;altavista;2;16;2018-06-22;7500000;microempresarial
f;comercio;almacen de ropa en;castilla;3;5;2017-12-13;7370000;microempresarial
f;comercio;variedades;enciso;2;8;2018-04-17;5000000;microempresarial
f;comercio;variedades;la milagrosa;2;9;2016-08-10;4000000;microempresarial
m;comercio;fabrica de helados;pedregal;3;6;2018-04-12;7200000;microempresarial
m;industria;tienda;campo valdes no. 1;3;4;2018-05-09;7800000;microempresarial
m;servicio;hoteles moteles;la pradera;3;13;2017-05-04;7300000;microempresarial
f;industria;fabrica de;miranda;2;4;2016-04-21;6800000;microempresarial
m;comercio;venta de calzado;manrique central no. 2;2;3;2018-05-30;7800000;microempresarial
f;servicio;peluqueria;belen;3;16;2018-08-29;7800000;microempresarial
m;servicio;tienda;buenos aires;3;9;2017-06-06;7300000;microempresarial
f;comercio;venta de calzado;manrique central no. 1;2;4;2018-09-04;3000000;microempresarial
f;comercio;almacen de ropa en;popular;2;1;2017-07-13;4000000;microempresarial
f;comercio;tienda;santo domingo savio ;2;1;2018-01-03;5000000;microempresarial
m;agropecuaria;sembrados;santa elena central;2;90;2018-05-09;7800000;microempresarial
f;comercio;almacen de ropa en;manrique central no. 1;1;4;2018-02-07;6000000;microempresarial
f;industria;fabrica de;buenos aires;3;9;2018-02-20;7000000;microempresarial
f;comercio;mantenimiento en;santo domingo savio ;1;1;2017-10-17;5000000;microempresarial
f;industria;fabrica de;san javier no.1;2;13;2016-12-02;4000000;microempresarial
f;agropecuaria;criadero de animales;cabecera san cristobal;2;60;2017-04-25;14000000;microempresarial
f;servicio;comidas rapidas;santa cruz;2;2;2017-05-11;7000000;microempresarial
m;servicio;barberia;aranjuez;2;4;2018-07-12;4500000;microempresarial
f;industria;fabrica de;manrique oriental;2;4;2019-02-15;8200000;microempresarial
m;comercio;tienda;santa cruz;2;2;2019-03-14;6000000;microempresarial
f;comercio;variedades;barrio caicedo;2;9;2018-11-13;6000000;microempresarial
f;industria;fabrica de alimentos;calasanz;2;12;2018-10-30;6000000;microempresarial
f;industria;fabrica de;la floresta;3;12;2018-05-22;7000000;microempresarial
f;industria;fabrica de;manrique central no. 1;2;4;2018-02-16;7800000;microempresarial
f;comercio;tienda;manrique central no. 1;2;4;2018-09-24;5000000;microempresarial
f;comercio;variedades;manrique central no. 1;2;4;2017-02-01;7300000;microempresarial
f;comercio;montallantas;manrique central no. 1;3;4;2018-04-27;1000000;microempresarial
f;comercio;tienda;manrique central no. 2;3;3;2019-05-08;8000000;microempresarial
f;servicio;peluqueria;castilla;3;5;2018-10-25;7000000;microempresarial
f;comercio;fabrica de;robledo;3;7;2016-11-15;6894000;microempresarial
m;comercio;mantenimiento en;santo domingo savio ;2;1;2017-01-25;5000000;microempresarial
f;comercio;variedades;castilla;3;5;2018-11-26;7800000;microempresarial
m;servicio;tienda;girardot;3;5;2018-04-04;1100000;microempresarial
f;comercio;comidas rapidas;calasanz;1;12;2018-10-25;2000000;microempresarial
f;comercio;tienda;tricentenario;3;5;2016-06-08;6000000;microempresarial
m;comercio;joyeria;kennedy;2;6;2016-10-19;3000000;microempresarial
f;comercio;variedades;enciso;2;8;2018-02-13;4000000;microempresarial
f;comercio;tienda;blanquizal;1;13;2019-01-24;5000000;microempresarial
f;comercio;variedades;tricentenario;1;5;2018-04-26;4100000;microempresarial
m;agropecuaria;sembrados;cabecera san cristobal;2;60;2018-08-22;19000000;agropecuaria
f;comercio;variedades;pedregal;3;6;2018-03-08;7000000;microempresarial
f;comercio;variedades;moravia;2;4;2018-11-01;3000000;microempresarial
f;comercio;tienda;san javier no.1;2;13;2019-03-05;5000000;microempresarial
f;servicio;cafeteria;playon de los ;2;2;2018-01-03;5000000;microempresarial
m;comercio;variedades;doce de octubre no.1;2;6;2017-12-12;6000000;microempresarial
m;comercio;miscelanea;castilla;3;5;2016-10-25;3000000;microempresarial
f;industria;fabrica de;belen;1;16;2019-06-13;4000000;microempresarial
f;comercio;tienda;manrique central no. 1;3;4;2017-08-29;5000000;microempresarial
